__Blurryface__,普通用户,广东 深圳,疫情让蛋糕实现了咸蛋黄自由 ?,收藏转发评论 3赞1,02月01日 22:58iPhone客户端
酷哥2011V天下,黄V,湖北,"微博知名博主孝感是否会大爆发，孝感市长回应#孝感爆料##抗击新型肺炎第一线##新型冠状病毒##抗击新型肺炎我们在行动##疫情联防联控实时播报# 2月1日晚9点，湖北省召开新型冠状病毒感染的肺炎疫情防控工作新闻发布会, 通报湖北省及省内黄冈市和孝感市疫情和防控工作最新进展情况。记者：孝感市在短时间内疑似病例和确诊病例上升很快，是否存在疫情大规模爆发的可能？孝感市市长吴海涛：重点对返乡人员进行筛查，及时安排居家隔离。确保准确物资用在最需要的医院，加强市场监管，严厉打击哄抬物价等行为。下一步我们将举全市之力打好打赢疫情防控狙击战。 收起全文d",收藏转发评论赞1,02月01日 22:58微博知名博主超话
快兰斯24小时财经直播,黄V,海外 美国,实时播报：★★【做好家长的防护，间接保护孩子！ 专家：1岁以下儿童不适合戴口罩】今天，国家卫生健康委召开发布会，介绍新型冠状病毒感染的肺炎疫情防控中孕产妇、婴幼儿和托育机构的健康防护情况。首都医科大学附属北京儿童医院急诊科主任王 荃 指出，家长一定要买适合孩子的儿童专用口罩佩戴，千万不要用大人的口罩代替孩子的口罩，因为这样实现不了防控作用。并且，一岁以下的孩子不太适合戴口罩。在这种情况下，唯一能做的就是做好家长的防护，间接保护孩子，另外减少孩子的外出。 收起全文d,收藏转发 3评论赞6,02月01日 22:58微博Win8客户端
狂奔的蜗牛-200508,普通用户,湖北,03年非典我在村里测体温。08年地震，我怀揣着自己的助理证，煽着大学同学骑着我那辆劲隆125奔向四川，在省界路卡被强行劝返后，截停上海援灾的应急通讯车求带遭拒，悻悻而返。20年新冠肺炎我在发热门诊独守诊室，甚幸！至少做了点该做的事！忽然发现，不赌、不聚餐、不唱KTV的我，竟然也CTMD爱凑热闹！想着呜咽中的武汉，想着连日奋战的同行们，我借用《周易》中蒙卦的一句话: “君子以果行育德！”，以表敬佩！ 收起全文d,收藏转发评论赞1,02月01日 22:36荣耀V8 脱影而出
葵花本葵,普通用户,广东 广州,#广西延迟复工开学#这里有一份肺炎疫情应对的调查，大家帮忙填一下好吗!O网页链接 ???,收藏转发评论赞,02月01日 22:59Redmi Note 8 Pro四摄
葵花本葵,普通用户,广东 广州,#北京累计确诊168例新型肺炎#这里有一份肺炎疫情应对的调查，大家帮忙填一下好吗!O网页链接 ???,收藏转发评论赞,02月01日 22:58Redmi Note 8 Pro四摄
喇叭少女丶,普通用户,浙江 温州,#抗击疫情 希望同行# 国家给予延长假期，不是为了给你们出门，聚众娱乐的，如果在这个紧要关头上发现这样的人群，请第一时间拨打110报警，这不是害她们，恰恰相反而是救这些无知的人！有一句话说的很好：帮不上国家的忙就请别拖国家后腿，如果你们真的控制不住非要出门的心，可以选择去一线帮助那群白衣天使！否则也请你们不要占领国家给予你们的假期来拖国家后腿！                 —致我伟大的中国，疫情终将结束！中国必将胜利 收起全文d,收藏转发评论赞,02月01日 22:59iPhone客户端
辣妈小鸡仔,黄V,陕西 西安,西安“硬核”防肺炎：若发现确诊和疑似病例，1人封单元、2人封整楼、3人以上封小区。抗击新冠，西安加油！#全国确诊新型肺炎病例##晚安##西安身边事# ?,收藏转发 1评论赞4,02月01日 22:29
辣手爱情儿5776,普通用户,浙江,湖北松滋市委书记黄祥龙疑似感染新冠病毒肺炎，目前正在救治，1月20日曾公开露面>>O网页链接 湖北松滋市委书记黄祥龙疑似感染新冠病毒肺炎，目前正在救治，1月20日曾公开露面 ?,收藏转发 1评论 1赞,02月01日 22:05微视APP
来一杯百事加冰气泡水,普通用户,四川 成都,看到现在，竟然有人因为疫情活埋打死猫猫，真的太心痛了，都是些什么东西 ?,收藏转发评论赞,02月01日 22:57小米6X 拍人更美
来自哈尔的移动城堡,普通用户,山西 太原,刷微博刷到心跳加速，血压飙升，一场疫情还没被打跑，就暴露出了种种问题，该痛心还是该学会看淡。看似平静的海面，却也暗藏汹涌，没有这一场风浪，无法看到竟然隐藏的这么多垃圾。早已脱离茹毛饮血的原始社会，可似乎依旧尸位素餐，底线和信仰终究像最后一层遮羞布，被撕的干干净净。想着事情总是有两面性的，也许这是个契机呢，刮骨疗毒，正本溯源。 收起全文d,收藏转发评论赞,02月01日 22:57vivo X23全息幻彩
兰山发布,蓝V,None,#兰山打赢疫情防控硬仗# 【兰山：党旗飘扬在防疫一线 | 区商务局迎战疫情阻击，党员冲锋在前】 面对突如其来的新冠病毒肺炎疫情，兰山区商务局党组注重发挥党员模范带头作用，全体党员不忘初心、牢记使命，关键时刻站得出来，危急时刻豁得出去，在抗击疫情的一线战斗中竖起了一面面鲜红的党旗，以实际行动守护人民群众生命健康安全，全力打好疫情阻击战。 O兰山：党旗飘扬在防疫一线 | 区商务局迎战疫情阻击，党员冲锋在前 收起全文d,收藏转发评论赞,02月01日 22:14微博 weibo.com
蓝莓医生,黄V,其他,父亲来自黄冈传染病医院病房的最后一个电话：“好的，战斗吧” 接受采访的时候，孙亮哭了。不到半个月的时间，父母相续感染上新冠肺炎，如今父亲去世、母亲至今仍在ICU。他之所以接受采访，是因为想把真实的情况告知更多的人，希望大家在关注武汉之余，能把目光和关怀投向同样危急的黄冈。O父亲来自黄冈传染病医院病房的最后一个电话：“好的，战斗吧” 收起全文d,收藏转发 1053评论 438赞3009,02月01日 22:40iPhone 11 Pro Max
蓝山警事,蓝V,None,【无视疫情危险 6人聚集赌博被抓】新冠肺炎疫情当前，湖南永州蓝山县公安局全力开展疫情防控工作，严厉打击聚集赌博等违法犯罪活动！县公安局于1月31日、2月1日分别在该县土市镇、舜源街道办查处两起聚集赌博，抓获涉赌人员6人，并对围观群众进行训诫。 ?,收藏转发 2评论 4赞21,02月01日 22:24OPPO Reno2
蓝牙密探古GE39263,普通用户,广东 深圳,《美首例新冠患者用伦地西韦有效，药企称正与中国卫生部门合作》吉利德正与全球卫生部门密切合作，对伦地西韦的抗疫作用开展适当的实验。O网页链接 ?,收藏转发评论赞,02月01日 22:12百度App
蘭馨阁主人,普通用户,辽宁 本溪,新冠病毒科学问答：1.新冠状病毒在普通环境中能存活多久？答：病毒只能存活于生物体细胞内，室温情况下基本不能存活。2.专家说，这个病毒在56℃水中30分钟灭活。100℃开水中，多久灭活？答：病毒仅在动物体内存活，体外不能存活，所以物品不用煮。3.病毒离开了人体，在日常物品比如门把手、手机上，还能存活多久？病毒离开活体，北方零下10度的低温会死吗？答：该病毒不是消化道传播的，摸了门把手、手机，不去抠鼻子、摸眼睛就行。病毒离开人体不能存活。4.家里有84消毒液，也有酒精，请问该怎么用？答：84消毒液、酒精对大部分细菌等微生物有杀灭作用，但是病毒离开人体不能存活，用84消毒液、酒精等消毒剂擦地擦物品其实意义不大。5.这种病毒会感染猫狗吗？答：目前没有发现。6.出门除了戴口罩，是否应该戴一次性手套？答：没有必要。怕冷就戴手套。注意洗手更重要。7.外出的话，多戴几个药店卖的普通医用口罩能提高防护作用吗？答：不用。室外活动单层就够了。8.和陌生人说话，距离多远安全？假如不和陌生人说话，路上擦肩而过会传染上吗？答：距离是一方面，但重要的不要对着人打喷嚏、咳嗽。9.能吃生的蔬菜吗？比如沙拉。答：新冠病毒不经消化道传播，可以吃沙拉。10.几乎不出门，附近还没有病例出现，请问戴普通的一次性口罩可以吗？答：可以的。11.请问潜伏期有症状吗？潜伏期传染性大吗？答：最短1-2天，最长10~12天，平均7天。医学观察为14天。潜伏期内有一定传染性。患者出现高热的时候传染性最强。12.新冠感染和普通感冒症状上怎么区别？答：新冠感染主要有发烧，局部呼吸道症状通常不重，部分人会出现严重的呼吸困难或全身受损表现。这些是与普通感冒最大的区别。13.目前到底有没有特效药？答：目前没有。治疗原则主要是对症和支持。14.那些能自愈的人都有啥特点？病重去世的人有哪些特点？答：自愈与体质有关，多为免疫功能健全的人。病重去世者多为老年人、有基础病者。15.治愈出院的患者有可能二次感染吗？康复后应该如何护理？答：目前认为不会，因为有抗体了。具体如何康复要根据病人的恢复情况。16.吃普通的感冒药或抗生素对该病毒有效吗？答：无效。仅供参考请大家认真阅读！战胜病魔！ 收起全文d,收藏转发评论 1赞3,02月01日 22:37荣耀8 美得与众不同
浪井缘2020,普通用户,江西,到一线抗疫情 ?,收藏转发评论赞1,02月01日 22:58iPhone客户端
老c队长,黄V,北京,【美国首例新冠患者粪便检出病毒，提示新潜在感染路径】尽管新冠病毒是否可以通过粪口传播或食物传播尚无定论，但病毒在呼吸道外的潜在影响值得关注，新的研究信息可能对我们设置预防新冠病毒感染的健康政策产生重大影响。对普通民众而言，也提供了重要的防护预警：除了佩戴口罩之外，及时洗手、正确洗手同样极为重要。 收起全文d,收藏转发 1评论赞12,02月01日 22:02赞就涨停的Android
老陈吐潮,普通用户,北京 西城区,错就错了，承认错误，起码是个态度问题，还要强词夺理，医院凭什么分三六九等，凭什么不分，普通感冒病人和新冠肺炎是一个等级吗，医生面临的责任难度一样吗，一个无痛人流不孕不育的和面对生死的新冠肺炎的抢救医生等级能一样吗，湖北红十字里面的人员不会都像这个SB员工一样弱智和思考问题，想到捐献物资是这种没脑子的人在负责，一阵恶寒袭来 2北京·马甸 收起全文d,收藏转发评论赞,02月01日 17:30华为手机 畅享玩不停
老刘的小树苗,普通用户,香港,互相思念的人见面才有意义#疫情结束后最想见的人##异地恋见面的场景# ?,收藏转发 1评论 2赞4,02月01日 22:57iPhone XR
老男孩42198,普通用户,其他,"我分享了【疫情至今，应担心的不是肺，而是肾】, 快来看吧！ | O疫情至今，应担心的不是肺，而是肾 ?",收藏转发评论赞,02月01日 22:58小米浏览器
老聂评房,普通用户,云南,#云南省疫情最新情况# #云南省新型冠状病毒# 截止2020年1月31日24时，云南省疫情统计 ?,收藏转发 1评论赞1,02月01日 22:59360安全浏览器
老三加油吧,普通用户,广东,愿疫情快快过去??????每天大好天气，只能宅家 ?,收藏转发评论赞,02月01日 22:58荣耀10青春版
